book_id	branch_id	no_of_copies
0743215052	3	0
0743215052	4	2
0743215052	5	3
0821762559	1	4
0821762559	2	1
0821762559	3	1
0821762559	4	3
0821762559	5	4
1552047210	1	0
1552047210	2	4
1552047210	3	2
1552047210	4	1
1552047210	5	3
0738204374	1	4
0738204374	2	0
0738204374	3	1
0738204374	4	2
0738204374	5	4
0425133540	1	2
0425133540	2	0
0425133540	3	2
0425133540	4	3
0425133540	5	3
0425147584	1	1
0425147584	2	3
0425147584	3	3
0425147584	4	4
0425147584	5	4
1864364432	1	4
1864364432	2	4
1864364432	3	3
1864364432	4	1
1864364432	5	4
0688160999	1	1
0688160999	2	1
0688160999	3	1
0688160999	4	3
0688160999	5	3
0966625307	1	4
0966625307	2	0
0966625307	3	4
0966625307	4	1
0966625307	5	2
038071115X	1	4
038071115X	2	1
038071115X	3	2
038071115X	4	2
038071115X	5	0
0138613370	1	2
0138613370	2	3
0138613370	3	2
0138613370	4	0
0138613370	5	4
0070349096	1	3
0070349096	2	4
0070349096	3	4
0070349096	4	1
0070349096	5	2
0874779758	1	3
0874779758	2	3
0874779758	3	4
0874779758	4	3
0874779758	5	0
0198503652	1	2
0198503652	2	4
0198503652	3	1
0198503652	4	4
0198503652	5	1
0590956159	1	3
0590956159	2	4
0590956159	3	4
0590956159	4	0
0590956159	5	1
0911625593	1	4
0911625593	2	0
0911625593	3	1
0911625593	4	3
0911625593	5	2
0911625453	1	1
0911625453	2	4
0911625453	3	1
0911625453	4	0
0911625453	5	3
0078823927	1	1
0078823927	2	4
0078823927	3	0
0078823927	4	3
0078823927	5	4
1884133258	1	4
1884133258	2	0
1884133258	3	1
1884133258	4	4
1884133258	5	4
0760049254	1	0
0760049254	2	0
0760049254	3	1
0760049254	4	0
0760049254	5	2
0314129499	1	4
0314129499	2	0
0314129499	3	4
0314129499	4	0
0314129499	5	1
962593460X	1	4
962593460X	2	2
962593460X	3	2
962593460X	4	4
962593460X	5	1
062593460X	1	2
062593460X	2	2
062593460X	3	0
062593460X	4	1
062593460X	5	3
0743202104	1	4
0743202104	2	0
0743202104	3	3
0743202104	4	0
0743202104	5	3
0936184388	1	2
0936184388	2	0
0936184388	3	4
0936184388	4	4
0936184388	5	3
0689829418	1	0
0689829418	2	1
0689829418	3	4
0689829418	4	3
0689829418	5	3
0961470151	1	4
0961470151	2	4
0961470151	3	0
0961470151	4	2
0961470151	5	1
0887251714	1	1
0887251714	2	3
0887251714	3	1
0887251714	4	3
0887251714	5	4
0201615711	1	0
0201615711	2	3
0201615711	3	0
0201615711	4	2
0201615711	5	2
1565922840	1	0
1565922840	2	1
1565922840	3	1
1565922840	4	1
1565922840	5	4
0345438310	1	1
0345438310	2	3
0345438310	3	2
0345438310	4	4
0345438310	5	2
0345298063	1	2
0345298063	2	4
0345298063	3	4
0345298063	4	2
0345298063	5	3
0764547161	1	2
0764547161	2	1
0764547161	3	2
0764547161	4	2
0764547161	5	4
0471105597	1	3
0471105597	2	0
0471105597	3	1
0471105597	4	0
0471105597	5	2
0399501487	1	1
0399501487	2	2
0399501487	3	3
0399501487	4	2
0399501487	5	1
1581950098	1	0
1581950098	2	3
1581950098	3	4
1581950098	4	2
1581950098	5	2
0689813813	1	2
0689813813	2	3
0689813813	3	2
0689813813	4	1
0689813813	5	3
0070121430	1	1
0070121430	2	4
0070121430	3	4
0070121430	4	0
0070121430	5	4
0870212850	1	1
0870212850	2	2
0870212850	3	0
0870212850	4	3
0870212850	5	2
0849323754	1	1
0849323754	2	1
0849323754	3	3
0849323754	4	0
0849323754	5	4
0864426429	1	3
0864426429	2	2
0864426429	3	1
0864426429	4	3
0864426429	5	0
0767903854	1	1
0767903854	2	1
0767903854	3	0
0767903854	4	3
0767903854	5	4
1573225312	1	0
1573225312	2	1
1573225312	3	0
1573225312	4	0
1573225312	5	4
0811213668	1	2
0811213668	2	3
0811213668	3	2
0811213668	4	1
0811213668	5	1
093570261x	1	3
093570261x	2	0
093570261x	3	0
093570261x	4	3
093570261x	5	1
0201709287	1	2
0201709287	2	1
0201709287	3	3
0201709287	4	0
0201709287	5	3
0750650869	1	3
0750650869	2	2
0750650869	3	1
0750650869	4	2
0750650869	5	4
0789305003	1	3
0789305003	2	4
0789305003	3	0
0789305003	4	1
0789305003	5	3
0120594757	1	0
0120594757	2	0
0120594757	3	2
0120594757	4	1
0120594757	5	1
0078823978	1	2
0078823978	2	2
0078823978	3	0
0078823978	4	4
0078823978	5	4
0449202496	1	4
0449202496	2	2
0449202496	3	3
0449202496	4	1
0449202496	5	4
0528838180	1	1
0528838180	2	1
0528838180	3	4
0528838180	4	1
0528838180	5	2
0761117199	1	0
0761117199	2	1
0761117199	3	1
0761117199	4	2
0761117199	5	2
0060393645	1	4
0060393645	2	4
0060393645	3	1
0060393645	4	1
0060393645	5	0
1586480103	1	2
1586480103	2	2
1586480103	3	3
1586480103	4	1
1586480103	5	0
0809299674	1	2
0809299674	2	2
0809299674	3	2
0809299674	4	2
0809299674	5	3
037541164X	1	2
037541164X	2	0
037541164X	3	4
037541164X	4	2
037541164X	5	1
0684856093	1	3
0684856093	2	4
0684856093	3	1
0684856093	4	0
0684856093	5	2
0375400818	1	3
0375400818	2	2
0375400818	3	4
0375400818	4	1
0375400818	5	2
0716736381	1	4
0716736381	2	4
0716736381	3	1
0716736381	4	1
0716736381	5	1
0399146652	1	2
0399146652	2	3
0399146652	3	3
0399146652	4	2
0399146652	5	3
0439139597	1	1
0439139597	2	2
0439139597	3	1
0439139597	4	2
0439139597	5	3
0910146691	1	3
0910146691	2	4
0910146691	3	4
0910146691	4	0
0910146691	5	3
1930110006	1	1
1930110006	2	1
1930110006	3	0
1930110006	4	2
1930110006	5	1
0312135033	1	4
0312135033	2	1
0312135033	3	1
0312135033	4	0
0312135033	5	4
0505523078	1	2
0505523078	2	3
0505523078	3	2
0505523078	4	0
0505523078	5	1
0672314800	1	1
0672314800	2	4
0672314800	3	2
0672314800	4	0
0672314800	5	0
020165783X	1	4
020165783X	2	1
020165783X	3	2
020165783X	4	2
020165783X	5	4
0425143325	1	1
0425143325	2	4
0425143325	3	0
0425143325	4	3
0425143325	5	2
0345384466	1	3
0345384466	2	0
0345384466	3	2
0345384466	4	4
0345384466	5	4
0071354190	1	0
0071354190	2	4
0071354190	3	2
0071354190	4	0
0071354190	5	3
0120848104	1	3
0120848104	2	1
0120848104	3	1
0120848104	4	3
0120848104	5	1
0684869519	1	0
0684869519	2	3
0684869519	3	3
0684869519	4	0
0684869519	5	1
0156007754	1	1
0156007754	2	3
0156007754	3	3
0156007754	4	0
0156007754	5	0
067100767X	1	3
067100767X	2	2
067100767X	3	0
067100767X	4	3
067100767X	5	3
1565926269	1	0
1565926269	2	0
1565926269	3	4
1565926269	4	4
1565926269	5	4
1878529234	1	1
1878529234	2	3
1878529234	3	2
1878529234	4	2
1878529234	5	0
0070498415	1	0
0070498415	2	2
0070498415	3	1
0070498415	4	4
0070498415	5	2
0316695262	1	0
0316695262	2	3
0316695262	3	0
0316695262	4	0
0316695262	5	3
0262133822	1	1
0262133822	2	1
0262133822	3	0
0262133822	4	4
0262133822	5	1
0792393651	1	1
0792393651	2	0
0792393651	3	1
0792393651	4	0
0792393651	5	3
0262041642	1	0
0262041642	2	2
0262041642	3	2
0262041642	4	0
0262041642	5	1
0590496379	1	1
0590496379	2	2
0590496379	3	0
0590496379	4	0
0590496379	5	2
0534944469	1	1
0534944469	2	2
0534944469	3	2
0534944469	4	4
0534944469	5	4
0471587192	1	1
0471587192	2	0
0471587192	3	0
0471587192	4	4
0471587192	5	4
0812093119	1	2
0812093119	2	2
0812093119	3	2
0812093119	4	3
0812093119	5	1
0669076791	1	3
0669076791	2	0
0669076791	3	2
0669076791	4	1
0669076791	5	3
0737800033	1	2
0737800033	2	0
0737800033	3	2
0737800033	4	3
0737800033	5	3
0130819735	1	0
0130819735	2	0
0130819735	3	1
0130819735	4	3
0130819735	5	4
0471169196	1	2
0471169196	2	1
0471169196	3	0
0471169196	4	2
0471169196	5	2
0609607995	1	1
0609607995	2	2
0609607995	3	4
0609607995	4	2
0609607995	5	2
0060287659	1	3
0060287659	2	3
0060287659	3	0
0060287659	4	3
0060287659	5	4
0689836015	1	3
0689836015	2	0
0689836015	3	4
0689836015	4	4
0689836015	5	2
0201700735	1	2
0201700735	2	4
0201700735	3	2
0201700735	4	0
0201700735	5	1
014051452X	1	4
014051452X	2	3
014051452X	3	3
014051452X	4	4
014051452X	5	3
0962477060	1	3
0962477060	2	0
0962477060	3	0
0962477060	4	3
0962477060	5	4
0399147020	1	4
0399147020	2	4
0399147020	3	1
0399147020	4	0
0399147020	5	0
0395851580	1	2
0395851580	2	4
0395851580	3	0
0395851580	4	4
0395851580	5	2
0596000278	1	0
0596000278	2	3
0596000278	3	0
0596000278	4	1
0596000278	5	2
0060959290	1	1
0060959290	2	0
0060959290	3	2
0060959290	4	2
0060959290	5	0
0517707950	1	3
0517707950	2	4
0517707950	3	4
0517707950	4	1
0517707950	5	0
0134897250	1	4
0134897250	2	1
0134897250	3	3
0134897250	4	0
0134897250	5	0
042510107X	1	2
042510107X	2	4
042510107X	3	2
042510107X	4	3
042510107X	5	0
0618056777	1	3
0618056777	2	4
0618056777	3	2
0618056777	4	2
0618056777	5	4
0262181916	1	1
0262181916	2	1
0262181916	3	2
0262181916	4	3
0262181916	5	4
1566912296	1	3
1566912296	2	1
1566912296	3	2
1566912296	4	0
1566912296	5	3
0030059380	1	4
0030059380	2	0
0030059380	3	0
0030059380	4	1
0030059380	5	4
0671880756	1	1
0671880756	2	3
0671880756	3	2
0671880756	4	3
0671880756	5	1
0688161995	1	3
0688161995	2	4
0688161995	3	1
0688161995	4	4
0688161995	5	1
0688127371	1	3
0688127371	2	4
0688127371	3	4
0688127371	4	3
0688127371	5	2
0070571864	1	4
0070571864	2	0
0070571864	3	4
0070571864	4	0
0070571864	5	3
0465041752	1	2
0465041752	2	2
0465041752	3	0
0465041752	4	3
0465041752	5	2
1902618351	1	1
1902618351	2	1
1902618351	3	3
1902618351	4	4
1902618351	5	1
0850668093	1	0
0850668093	2	3
0850668093	3	2
0850668093	4	4
0850668093	5	3
0590262540	1	2
0590262540	2	4
0590262540	3	1
0590262540	4	0
0590262540	5	2
0590494414	1	1
0590494414	2	1
0590494414	3	0
0590494414	4	1
0590494414	5	2
0590494368	1	3
0590494368	2	3
0590494368	3	1
0590494368	4	1
0590494368	5	4
0911625607	1	2
0911625607	2	2
0911625607	3	0
0911625607	4	4
0911625607	5	2
0911625852	1	0
0911625852	2	2
0911625852	3	1
0911625852	4	1
0911625852	5	0
0911625291	1	3
0911625291	2	1
0911625291	3	1
0911625291	4	0
0911625291	5	2
0553102370	1	1
0553102370	2	3
0553102370	3	4
0553102370	4	2
0553102370	5	3
0345417623	1	1
0345417623	2	2
0345417623	3	0
0345417623	4	0
0345417623	5	3
0689829531	1	1
0689829531	2	2
0689829531	3	1
0689829531	4	2
0689829531	5	0
0387987010	1	0
0387987010	2	0
0387987010	3	1
0387987010	4	0
0387987010	5	3
0813527406	1	3
0813527406	2	3
0813527406	3	3
0813527406	4	4
0813527406	5	3
0060930497	1	1
0060930497	2	1
0060930497	3	0
0060930497	4	3
0060930497	5	4
0195148665	1	0
0195148665	2	1
0195148665	3	0
0195148665	4	2
0195148665	5	2
0199291144	1	1
0199291144	2	1
0199291144	3	1
0199291144	4	1
0199291144	5	3
0192860925	1	2
0192860925	2	2
0192860925	3	1
0192860925	4	1
0192860925	5	1
